page,capture_date,location,price,size,built,floor,url,text
            h3 dodaten opish3 div itemprop= disambiguatingdescription p zasebna ponudba brez plačila provizije agenciji!p p v stanovanjski hiši na dveh nadstropjih v skupni izmeri dobrih 250m2 je na voljo večje število eno- in dvoposteljnih sob za mlajše nekadilske (študentske) pare in samske osebe s slovenskim državljanstvom za obdobje vsaj 1 leta (prednost dolgoročni najem).  p p v 1. nadstropju bodo od oktobra na voljo 4 dvoposteljne sobe z zakonsko posteljo (od tega 2 z balkonom, ena pa s kuhinjsko nišo) in ena enoposteljna s kopalniškim blokom (zrcalo+umivalnik) s souporabo prostorne kuhinje in 2 kopalnic. sobe so v celoti prenovljene, z novim pohištvom, imajo wifi ter android tv (eon premium paket), v povsem novih kopalnicah pa so še prostorna tuš kabina, dvojni umivalnik, wc, bide in pralno-sušilni stroj v eni ter tuš kabina, wc in umivalnik v drugi. v kuhinji so na voljo 1 kuhalnik s steklokeramično ploščo s 4 kuhališči in 1 z dvema, napa, pečica, nov ameriški hladilnik in dodaten prostoren hladilnik z ločenim predalom za zelenjavo in zamrzovalnikom, pomivalni stroj, sušilni stroj, mikrovalovna pečica ter posoda. p p  v 2. nadstropju bodo v kratkem (najkasneje od 6. septembra) na voljo 2 dvoposteljni sobi z zakonsko posteljo (od tega 1 z balkonom) in 2 enoposteljni s souporaba kuhinje in kopalnice. sobe so v celoti prenovljene, z novim pohištvom (1. vselitev), imajo wifi ter android tv (eon premium paket), v kopalnici pa so še prostorna tuš kabina, dvojni umivalnik, wc, bide, pralni in sušilni stroj. v kuhinji so na voljo 1 plinski kuhalnik s 4 šobami, napa, prostoren hladilnik z ločenim zamrzovalnikom, pečica, manjši pomivalni stroj, mikrovalovna pečica ter posoda. stanovanje ima še dodaten wc za goste in dodatno kuhinjsko nišo s starejšo steklokeramično kuhalno ploščo, manjšim hladilnikom in zamrzovalnikom.  p p cena je 200€ na osebo (220€ na osebo za sobi z balkonom) + stroški ter 1 mesečna varščina. na voljo nekah parkirnih mest na dvorišču znotraj ograje oz. najem parkirnega mesta v garaži ter uporaba skupnega vrta v izmeri ca. 100m2, idealnega za piknike ali sončenje, z vrtno hiško z elektriko in z zunanjim lijakom z vodo, kjer je shranjeno tudi vse potrebno orodje za vzdrževanje vrta. sobe so še v fazi prenove, zato bodo fotografije objavljene postopoma.  p p hiša se nahaja na vrhu brda na dostopni lokaciji v bližini avtobusne postaje št. 14, trgovin (mercator, spar, hofer, lesnina), tehnološkega parka, fakultet v rožni dolini in na viču, obvoznice in rekreativnih zelenih površin (klobuk, rožnik, pot spominov...). za več informacij pokličite izključno po telefonu po 10. uri, na sms-e ali elektronska sporočila ne odgovarjam.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041439-672 onclick= trackoutboundlink('0.zasebna ponudba 041439-672', 'oglas-click-tel'); 041439-672a p div"

nepremicnine,2020-09-06T14:23:26.077537,BIZOVIK,400.0,40.0,2009,P,https://www.nepremicnine.net/oglasi-oddaja/bizovik-stanovanje_6360475/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca bizovikstrong , 40 m2, 1-sobno, zgrajeno l. 2009, p2 nad., lepo urejeno enosobno stanovanje s kuhinjsko nišo, kopalnico s pralnim strojem), garderobno sobico in spalno sobo. parkirno mesto pred hiso, oddamo. cena: 400,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- fakulteta za šport br -- medicinska fakulteta br -- zdravstvena fakulteta br br div 
        energ. razred:
        div class= icon16 ei ei-2 a2div  (10 - 15 kwhm2a)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6360475 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p v enostanovanjski hisi na bizoviku oddajamo enosobno stanovanje, primerno za redoljuben studentski par ali posameznika. kuhinjska nisa (kuhalnik 2 grelca, napa, hladilnik, pecice ni), kopalnica (tus, wc, umivalnik, pralni stroj), garderobna sobica z veliko garderobno omaro z drsnimi vrati in prostor za stalazo. v vecji sobi je postelja, omarica za tv in miza. v blizini avtobusna postaja (24, 13), trgovina, golovec.p p stroski so fiksni, 50eosebo.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:051632-031 onclick= trackoutboundlink('0.zasebna ponudba 051632-031', 'oglas-click-tel'); 051632-031a poslji sms, poklicem nazajp div"

nepremicnine,2020-09-06T14:23:26.077537,"BEŽIGRAJSKI DVOR, VOJKOVA PRI HIDROMETEOROLOŠKEM Z",400.0,23.0,1993,1,https://www.nepremicnine.net/oglasi-oddaja/bezigrajski-dvor-vojkova-pri-hidrometeoroloskem-z-stanovanje_6351772/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca bežigrajski dvor, vojkova pri hidrometeorološkem zstrong , 23 m2, garsonjera, zgrajena l. 1993, adaptirana l. 2015, 13 nad., opremljeno, stroški od 40-80 eur vključno z internetom, pogled na vrt, za 2 osebi, študentom, nekadilcem, brez živali, varščina. pišite na sms, oddamo. cena: 400,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- ekonomska fakulteta br -- fakulteta za družbene vede br -- fakulteta za socialno delo br br div 
        energ. razred:
        div class= icon16 ei ei-9998 div  ei v izdelavi
        !---- 
    div id= obcina_stats_append div div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:06970-35-37 onclick= trackoutboundlink('0.zasebna ponudba 06970-35-37', 'oglas-click-tel'); 06970-35-37a p div"

nepremicnine,2020-09-06T14:23:26.077537,BROD,200.0,13.0,2013,M,https://www.nepremicnine.net/oglasi-oddaja/brod-stanovanje_6358925/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca brodstrong , 13 m2, soba, adaptirana l. 2013, 200 m2 zemljišča, m1 nad., 13 m2 soba, 250 eur s stroški, zraven šmarne gore, oddamo. cena: 200,00 eurmesdiv 
	    
        
        energ. razred:
        div class= icon16 ei ei-5 cdiv  (35 - 60 kwhm2a)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6358925 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p 13m2 soba je v 1. nad. hiše.br dvosobno stanovanje obsega 65m2 in ima presenetljivo visok strop za mansardo.p p kuhinja in kopalnica sta v celoti opremljeni (pralni stroj, velik hadilnik, pečica, štedilnik, tuš kabina ...).p p odlična in mirna lokacija primerna za šport, je blizu avtoceste, zraven trgovin in dostopna za avtobuse.p p parkirno mesto je pred hišo.p p družba in tačke dobrodošle (pogojeno z vzgojo).p p varščina 250€p p najemnina sobe 200€p p fiksni stroški 50€p p v sobo pride še velika omara z obešalniki, ki bo prekrila desni zid.p p tel: 041634349p p kakšno osebo iščem?p p najemnik ali najemnica (oseba).p p oseba moda biti prijazna, spoštljiva in imeti rada občasno veselje pridne kužike.p p držati se svoje besede, pospravljati za sabo ter sodelovati pri tedenskem generalnem čiščenju skupnjih prostorov 15-30 min.p p dodatni plusi, če je oseba aktivna, nima veganske diete, ne kadi, ima manj kot 30 let in gre spati večino noči pred 22:30.p p p.s.br če meniš, da si fenomenalna oseba, ki stremi k uspehu ter lepim odnosom, pokliči in pridi na ogled.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041634-349 onclick= trackoutboundlink('0.zasebna ponudba 041634-349', 'oglas-click-tel'); 041634-349a p div"

nepremicnine,2020-09-06T14:23:26.077537,"BRINJE, BLIŽINA EF, FDV, PEDAGOŠKE",275.0,16.0,2010,,https://www.nepremicnine.net/oglasi-oddaja/brinje-blizina-ef-fdv-pedagoske-stanovanje_6355707/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca brinje, bližina ef, fdv, pedagoškestrong , 16 m2, soba, adaptirana l. 2010, oddamo. cena: 275,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- ekonomska fakulteta br -- fakulteta za družbene vede br -- pedagoška fakulteta br br div 
        energ. razred:
        div class= icon16 ei ei-9999 div  ei ni potrebna (334.člen ez-1)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6355707 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p v stanovanjski hiši na kardeljevi ploščadi oddajam študentsko stanovanje v izmeri 55 m2. stanovanje ima 2 veliki in s pohištvom opremljeni 2 posteljni sobi (16 m2 in 14 m2) s pogledom in dostopom na vrt, kopalnico, čajno kuhinjo in jedilnico. po dogovoru možnost oddaje posamezne sobe. možnost študentske subvencije. stanovanje se oddaja za dobo manjše od 1 leta.p p lastna nepremičnina, ni provizije.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    gre d.o.o. br kardeljeva ploščad 7br 1000 ljubljanabr tel.: a href= tel:041601-474 onclick= trackoutboundlink('gre d.o.o. 041601-474', 'oglas-click-tel'); 041601-474a p div"

nepremicnine,2020-09-06T14:23:26.077537,"BS 3, RUSKI CAR - JEŽICA",330.0,16.0,2014,PK,https://www.nepremicnine.net/oglasi-oddaja/bs-3-ruski-car-jezica-stanovanje_6358723/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca bs 3, ruski car - ježicastrong , 16 m2, soba, adaptirana l. 2014, pk2 nad., soba z lastno kopalnico. stroski vključeni. zelo lepa, mirna lokacija, avt 6,14,20. trim steza- fitnes vkljucen. nekadilci. daljše obdobje, oddamo. cena: 330,00 eurmesdiv 
	    
        
        energ. razred:
        div class= icon16 ei ei-9900 div  merjena ei: 0 kwhm2a
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6358723 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041942-978 onclick= trackoutboundlink('0.zasebna ponudba 041942-978', 'oglas-click-tel'); 041942-978a p div"

nepremicnine,2020-09-06T14:23:26.077537,"BS 3, REBOLJEVA ULICA",260.0,18.0,2010,P,https://www.nepremicnine.net/oglasi-oddaja/bs-3-reboljeva-ulica-stanovanje_6350341/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca bs 3, reboljeva ulicastrong , 18 m2, soba, adaptirana l. 2010, p6 nad., dvoposteljna soba v stanovanju za študente, opremljeno, wi-fi, atrij, poleg lpp, trgovina, knjižnica, oddamo. dodatno še stroški + varščina, oddamo. cena: 260,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        
        energ. razred:
        div class= icon16 ei ei-9998 div  ei v izdelavi
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6350341 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:040361-660 onclick= trackoutboundlink('0.zasebna ponudba 040361-660', 'oglas-click-tel'); 040361-660a p div"

nepremicnine,2020-09-06T14:23:26.077537,"BS 3, BEŽIGRAD",440.0,28.0,1981,16,https://www.nepremicnine.net/oglasi-oddaja/bs-3-bezigrad-stanovanje_6344063/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca bs 3, bežigradstrong , 28 m2, garsonjera, zgrajena l. 1981, 1618 nad., oddamo opremljeno garsonjero v urejeni večstanovanjski zgradbi v bližini bežigrajskih fakultet študentoma ali paru, nekadilcem, brez domačih živali, oddamo. cena: 440,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        div v bližini se nahajajo: br  -- ekonomska fakulteta br br div 
        energ. razred:
        div class= icon16 ei ei-9998 div  ei v izdelavi
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6344063 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p garsonjera je opremljena z gospodinjskimi aprati ( pomivalni stroj, steklokeramična plošča, hladilnik z zamrzovalnikom, pralno-sušilni stroj), ogrevanje z ck. parkirišče je rezervirano za stanovalce, vstop je mogoč preko zapornice z kartico. najemnina ne vključuje tekočih stroškov stanovanja, kar znašajo v poprečju 100 euro mesečno,  še dodatno se plača stroške elektrike po porabi, in  tudi stroške tv in interneta, katerega si najemnik izbere po lastni želji.  ob vselitvi se plača varščina, pogodba pa se sklene pri notarju v obliki notarskega zapisa, najemnik prevzame v plačilo del stroška sestave te najemne pogodbe .p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041722-425 onclick= trackoutboundlink('0.zasebna ponudba 041722-425', 'oglas-click-tel'); 041722-425a p div"

nepremicnine,2020-09-06T14:23:26.077537,ČRNUŠKA GMAJNA,375.0,30.0,2004,P,https://www.nepremicnine.net/oglasi-oddaja/crnuska-gmajna-stanovanje_6360273/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca črnuška gmajnastrong , 30 m2, 1,5-sobno, zgrajeno l. 2004, adaptirano l. 2004, p3 nad., oddamo. cena: cca 375,00 eurmesdiv 
	    
        
        energ. razred:
        div class= icon16 ei ei-9999 div  ei ni potrebna (334.člen ez-1)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6360273 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p imate 2 manjši sobi veliko kopalnico  s tušem kjer je tudi pralno sušilni stroj in pomivalni stroj ,manjša kuhinja s hladilnikom ki ima zgoraj zmrzovalnik in v kuhinji je steklokeramični štedilnik 2 rinki in kuhinjska napa .pri  vhodu je miza in stol. v stanovanju kajenje ni dovoljeno .stanovanje je primerno za študentski . stanovanju je primerno za bivanje 2 oseb.mlajši oz študentski par p p v vsaki sobi je zložljivi kavč dimenzije 100cm širina in dolžina 200cm .p p v primeru bivanja para se da ta dva kavča v eno sobo kot prikazuje slika in v drugo sobo po želji svoja postelja .dimenzija ,ki gre v to drugo sobo je 160x 200cm .p p če ne date notri  te svoje postelje pa se spi na teh dveh kavčih eden v eni sobi in eden v drugi sobi .p p glej priložene fotografije temu oglasu,kjer je nazaorno to prikazano.stroški za 2 osebe so 110 eur skupaj na mesec ,če bivate 1 leto sicer se to dogovori .p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:031663-530 onclick= trackoutboundlink('0.zasebna ponudba 031663-530', 'oglas-click-tel'); 031663-530a p div"

nepremicnine,2020-09-06T14:23:26.077537,ČRNUČE,420.0,25.0,1903,1,https://www.nepremicnine.net/oglasi-oddaja/crnuce-stanovanje_6347026/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca črnučestrong , 25 m2, 1-sobno, zgrajeno l. 1903, adaptirano l. 2005, 1. nad., oddamo. cena: 420,00 eurmesdiv 
	    
        
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6347026 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    br div class= lbl style= width:auto; šifra oglasa:div div class= dsc strong os20880nmrstrong div br div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription svetlo prijetno stanovnje v večstanovanjski hiši v črnučah. stanovanje obsega kuhinjo z manjšim dnevnim delom, ločeno spalnico in kopalnico. parkirranje pred hišo. primerno za mirnega posameznika. živali: ne. pogoj najemodajalca za sklenitev posla: najemnik prevzame v plačilo del stroška sestave najemne pogodbe, kar vključuje naslednja dejanja posrednika: izvedbo primopredaje nepremičnine in sestavo zapisnika, sodelovanje pri prepisu naročnin, pripravo in hrambo slikovnega gradiva, skladno s cenikom, navedenim v splošnih pogojih poslovanja nepremičninske družbe, t.j. najemnik pri oglaševani najemnini plača 420 eur plus 22 % ddv.div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    stoja trade, d.o.o., ljubljana br dolenjska cesta 242cbr 1000 ljubljanabr tel.: a href= tel:030641-681 onclick= trackoutboundlink('stoja trade, d.o.o., ljubljana 030641-681', 'oglas-click-tel'); 030641-681a nataša mulej, a href= tel:01280-08-60 onclick= trackoutboundlink('stoja trade, d.o.o., ljubljana 01280-08-60', 'oglas-click-tel'); 01280-08-60a p div"

nepremicnine,2020-09-06T14:23:26.077537,ČRNUČE,300.0,15.0,2018,P,https://www.nepremicnine.net/oglasi-oddaja/crnuce-stanovanje_6358399/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca črnučestrong , 15 m2, soba, adaptirana l. 2018, pritličje, oddaja se enoposteljna soba v štirisobnem stanovanju. več info spodaj, oddamo. cena: 300,00 eurmesdiv 
	    
        
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6358399 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p v štirisobnem stanovanju se oddaja ena enoposteljna soba velika 15m2.br stanovanje je renovirano, moderno opremljeno in se nahaja v hišibr na primožičevi ulici - črnuče z lepo okolico.br blizu stanovanja se nahaja lpp postaja linije 21, streljaj stran pa tudi linija 6, blizubr je tudi mercator, eurospin in veliko narave ter rekreacijskih površin.br stanovanje ponuja veliko moderno, polno opremljeno kuhinjo in dnevno sobo s kavčem, tvjem in ps4,br veliko kopalnico s pralnim strojem in dovolj prostora za sušenje perila.br pri stanovanju je tudi dvorišče z zagotovljenim parkirnim prostorom.p p cena najema z vključenimi stroški je 300€ na mesec in se oddaja za obdobje enega leta.br vselitev je možna s 1. septembrom.p p v dveh sobah sta že dva mlajša zaposlena moška išče se mlajši zaposleni osebi ali študentbr višjih letnikov.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:040608-355 onclick= trackoutboundlink('0.zasebna ponudba 040608-355', 'oglas-click-tel'); 040608-355a p div"

nepremicnine,2020-09-06T14:23:26.077537,DRAVLJE,220.0,15.0,1983,10,https://www.nepremicnine.net/oglasi-oddaja/dravlje-stanovanje_6360206/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca dravljestrong , 15 m2, soba, zgrajena l. 1983, adaptirana l. 2016, 1010 nad., opremljena svetla soba v 2-s stanovanju s souporabo kuhinje, kopalnice in hodnika; v drugi sobi biva mlajši uslužbenec, zaposlen v ukc, oddamo. cena: 220,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6360206 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p oddamo opremljeno sobo v v celoti opremljenem dvosobnem najemniškem stanovanju s souporabo bivalne kuhinje, kopalnice in hodnika. v drugi sobi biva mlajši uslužbenec, zaposlen v ukc. soba se oddaja urejenemu najemniku, nekadilcu, spol ni pomemben, lahko tudi dvema ali paru.p p soba je svetla in ima pogled proti šmarni gori. v sobi je francoska postelja, velika omara, miza in stol.p p stanovanje je popolnoma opremljeno (pralni in pomivalni stroj, pečica, jedilnica). pripada mu tudi shramba. v bližini je mercator center šiška in spar, fitnesa fitinn in sunny studio, 2 min do postaje lpp (št. 1 in 25), blizu je tudi železniška postaja savlje.p p najemnina znaša 220 € (300 € za dva) + stroški (50 - 100 € pozimi). ob vselitvi se plača varščina 300 €.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041817-786 onclick= trackoutboundlink('0.zasebna ponudba 041817-786', 'oglas-click-tel'); 041817-786a p div"

nepremicnine,2020-09-06T14:23:26.077537,DOLGI MOST,300.0,16.0,2016,1,https://www.nepremicnine.net/oglasi-oddaja/dolgi-most-stanovanje_6348976/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca dolgi moststrong , 16 m2, soba, adaptirana l. 2016, 1. nad., študentom se oddaja dvoposteljna soba v hiši, souporaba kopalnice in kuhinje. blizina avtobusa st 6, oddamo. cena: cca 300,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        
        energ. razred:
        div class= icon16 ei ei-9999 div  ei ni potrebna (334.člen ez-1)
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6348976 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p oddaja se soba za studente v hiši, s souporabo kuhinje in kopalnice. pred hiso je mozno parkirati en avto. v blizini je avtobusna postaja stevike 6. p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041695-354 onclick= trackoutboundlink('0.zasebna ponudba 041695-354', 'oglas-click-tel'); 041695-354a p div"

nepremicnine,2020-09-06T14:23:26.077537,DRAVLJE,200.0,22.0,1964,VP,https://www.nepremicnine.net/oglasi-oddaja/dravlje-stanovanje_6360513/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca dravljestrong , 22 m2, soba, zgrajena l. 1964, adaptirana l. 2020, vp2 nad., dvoposteljna soba v dravljah, oddamo. cena: 200,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        
        
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6360513 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div 
          div class= web-opis 
            h3 dodaten opish3 div itemprop= disambiguatingdescription p v dravljah oddam dvoposteljno sobo velikosti 22 m2. soba je polno opremljena (postelja, omara, pisalna miza, nočna lučka, stol). v souporabi sta tudi polno opremljena kuhinja (indukcija, pečica, mikrovalovna pečica, posode, krožniki, pribor) in kopalnica (pralni stroj, sušilni stroj). hiša je bila ravnokar v celoti adaptirana. vsa oprema je nova. ogrevanje je na toplotno črpalko. v hiši je optika 20010 mbs. parkiranje je možno v ulici pred hišo in je brezplačno. v neposredni bližini hiše je avtobusna postaja (linije 1, 7, 25). v bližini sta tudi dva velika trgovska centra in več trgovin z živili, kozmetiko ipd.br br soba se oddaja študentom in mlajšim zaposlenim. najemnina znaša 200 eurmesec po osebi. stroški v najemnini niso zajeti in znašajo 40 eurpoleti in 60pozimi. v stroške je vključeno tudi enkrat tedensko čiščenje skupnih prostorov v hiši. varščina znaša 200 eur. br br za dodatna vprašanja mi pošljite sporočilo ali pa me pokličite na tel. št. 041 361 191.p div br nepremicnine.net(c). div 
        div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:041361-191 onclick= trackoutboundlink('0.zasebna ponudba 041361-191', 'oglas-click-tel'); 041361-191a p div"

nepremicnine,2020-09-06T14:23:26.077537,DRAVLJE,250.0,20.0,1980,9,https://www.nepremicnine.net/oglasi-oddaja/dravlje-stanovanje_6360428/,"div id= opis 
        div class= kratek itemprop= description strong class= rdeca dravljestrong , 20 m2, soba, zgrajena l. 1980, adaptirana l. 2000, 910 nad., v sobi mini kuhinja wc tuš ločeno samo za študenta cena z vključenimi stroški stanovanje je pregrajeno možno tudi garaža za dodatno plačilo, oddamo. cena: do cca 250,00 eurmesdiv 
	    div class= kratek stanovanje je primerno tudi za študente.div 
        
        energ. razred:
        div class= icon16 ei ei-9997 div  ei: izračun ni mogoč
        !--br a rel= nofollow href= extform-kontakt.php?form=nepremicnine&id=6360428 class= potrdi gumb cbox iframe send_ask pošlji povpraševanjebr  ali ponudi menjavo svoje nepremičninea -- 
    div id= obcina_stats_append div div class= kontakt-opis h3 kontaktni podatkih3 p 
    zasebna ponudbabr tel.: a href= tel:040813-100 onclick= trackoutboundlink('0.zasebna ponudba 040813-100', 'oglas-click-tel'); 040813-100a p div"
